Genome	Permutation	Clusters
1	1	Perm1	510234
2	2	Perm1	600436
3	3	Perm1	651269
4	4	Perm1	686196
5	5	Perm1	708069
6	6	Perm1	722022
7	7	Perm1	821397
8	8	Perm1	833432
9	9	Perm1	842404
10	10	Perm1	853625
11	11	Perm1	897403
12	12	Perm1	900506
13	13	Perm1	901640
14	14	Perm1	981054
15	15	Perm1	996999
16	16	Perm1	1024669
17	17	Perm1	1044877
18	18	Perm1	1059973
19	19	Perm1	1087026
20	20	Perm1	1099663
21	21	Perm1	1107561
22	22	Perm1	1115696
23	23	Perm1	1122605
24	24	Perm1	1130481
25	25	Perm1	1136590
26	26	Perm1	1175885
27	27	Perm1	1176231
28	28	Perm1	1177920
29	1	Perm2	510234
30	2	Perm2	601847
31	3	Perm2	695874
32	4	Perm2	742348
33	5	Perm2	768239
34	6	Perm2	816509
35	7	Perm2	897282
36	8	Perm2	921061
37	9	Perm2	941456
38	10	Perm2	950514
39	11	Perm2	972611
40	12	Perm2	989106
41	13	Perm2	999277
42	14	Perm2	1014732
43	15	Perm2	1021626
44	16	Perm2	1029169
45	17	Perm2	1031502
46	18	Perm2	1041035
47	19	Perm2	1113400
48	20	Perm2	1121905
49	21	Perm2	1127613
50	22	Perm2	1142470
51	23	Perm2	1166110
52	24	Perm2	1169453
53	25	Perm2	1170605
54	26	Perm2	1175873
55	27	Perm2	1177187
56	28	Perm2	1177920
57	1	Perm3	284929
58	2	Perm3	420496
59	3	Perm3	676312
60	4	Perm3	763646
61	5	Perm3	821131
62	6	Perm3	848281
63	7	Perm3	878757
64	8	Perm3	887980
65	9	Perm3	898578
66	10	Perm3	919702
67	11	Perm3	939866
68	12	Perm3	948900
69	13	Perm3	955127
70	14	Perm3	970085
71	15	Perm3	978454
72	16	Perm3	994082
73	17	Perm3	1003481
74	18	Perm3	1031297
75	19	Perm3	1031791
76	20	Perm3	1042394
77	21	Perm3	1049425
78	22	Perm3	1055702
79	23	Perm3	1124866
80	24	Perm3	1166048
81	25	Perm3	1168106
82	26	Perm3	1169810
83	27	Perm3	1171510
84	28	Perm3	1177920
85	1	Perm4	377687
86	2	Perm4	667208
87	3	Perm4	730790
88	4	Perm4	850698
89	5	Perm4	886224
90	6	Perm4	939318
91	7	Perm4	965831
92	8	Perm4	1002442
93	9	Perm4	1020664
94	10	Perm4	1052162
95	11	Perm4	1062643
96	12	Perm4	1072405
97	13	Perm4	1077961
98	14	Perm4	1091136
99	15	Perm4	1104074
100	16	Perm4	1115898
101	17	Perm4	1116385
102	18	Perm4	1118563
103	19	Perm4	1126893
104	20	Perm4	1144874
105	21	Perm4	1146259
106	22	Perm4	1147305
107	23	Perm4	1152101
108	24	Perm4	1158004
109	25	Perm4	1164329
110	26	Perm4	1172467
111	27	Perm4	1176221
112	28	Perm4	1177920
113	1	Perm5	297535
114	2	Perm5	616895
115	3	Perm5	692223
116	4	Perm5	734614
117	5	Perm5	763994
118	6	Perm5	787797
119	7	Perm5	855700
120	8	Perm5	869470
121	9	Perm5	878645
122	10	Perm5	913001
123	11	Perm5	938045
124	12	Perm5	971860
125	13	Perm5	980719
126	14	Perm5	983770
127	15	Perm5	1002800
128	16	Perm5	1013369
129	17	Perm5	1022352
130	18	Perm5	1029210
131	19	Perm5	1100085
132	20	Perm5	1145189
133	21	Perm5	1153896
134	22	Perm5	1160381
135	23	Perm5	1162927
136	24	Perm5	1166118
137	25	Perm5	1167398
138	26	Perm5	1173025
139	27	Perm5	1177384
140	28	Perm5	1177920
141	1	Perm6	506075
142	2	Perm6	634738
143	3	Perm6	720604
144	4	Perm6	768492
145	5	Perm6	809376
146	6	Perm6	840915
147	7	Perm6	883262
148	8	Perm6	902127
149	9	Perm6	934630
150	10	Perm6	954091
151	11	Perm6	960659
152	12	Perm6	1019403
153	13	Perm6	1022707
154	14	Perm6	1026542
155	15	Perm6	1038657
156	16	Perm6	1040965
157	17	Perm6	1053172
158	18	Perm6	1056086
159	19	Perm6	1059293
160	20	Perm6	1067549
161	21	Perm6	1068684
162	22	Perm6	1069196
163	23	Perm6	1078696
164	24	Perm6	1080002
165	25	Perm6	1090240
166	26	Perm6	1097017
167	27	Perm6	1164727
168	28	Perm6	1177920
169	1	Perm7	278021
170	2	Perm7	620088
171	3	Perm7	683682
172	4	Perm7	759363
173	5	Perm7	864526
174	6	Perm7	905159
175	7	Perm7	941716
176	8	Perm7	968506
177	9	Perm7	982695
178	10	Perm7	1001469
179	11	Perm7	1011586
180	12	Perm7	1018028
181	13	Perm7	1034572
182	14	Perm7	1050685
183	15	Perm7	1075242
184	16	Perm7	1084871
185	17	Perm7	1089004
186	18	Perm7	1093549
187	19	Perm7	1103502
188	20	Perm7	1107209
189	21	Perm7	1110108
190	22	Perm7	1112553
191	23	Perm7	1123079
192	24	Perm7	1164802
193	25	Perm7	1169839
194	26	Perm7	1171076
195	27	Perm7	1172963
196	28	Perm7	1177920
197	1	Perm8	291083
198	2	Perm8	571868
199	3	Perm8	728097
200	4	Perm8	843214
201	5	Perm8	877586
202	6	Perm8	904554
203	7	Perm8	914700
204	8	Perm8	933640
205	9	Perm8	944474
206	10	Perm8	991431
207	11	Perm8	1017696
208	12	Perm8	1028978
209	13	Perm8	1048251
210	14	Perm8	1056796
211	15	Perm8	1071043
212	16	Perm8	1080973
213	17	Perm8	1088934
214	18	Perm8	1094455
215	19	Perm8	1139908
216	20	Perm8	1148221
217	21	Perm8	1149592
218	22	Perm8	1156574
219	23	Perm8	1158557
