Genome	Permutation	Clusters
1	1	Perm1	3309
2	2	Perm1	5074
3	3	Perm1	6414
4	4	Perm1	7561
5	5	Perm1	8540
6	6	Perm1	10260
7	7	Perm1	11143
8	8	Perm1	11966
9	9	Perm1	12620
10	10	Perm1	13187
11	11	Perm1	13734
12	12	Perm1	14369
13	13	Perm1	14915
14	14	Perm1	15774
15	15	Perm1	19712
16	16	Perm1	22725
17	17	Perm1	24521
18	18	Perm1	25697
19	19	Perm1	26620
20	20	Perm1	26917
21	21	Perm1	27528
22	22	Perm1	28053
23	23	Perm1	28426
24	24	Perm1	28623
25	25	Perm1	29082
26	26	Perm1	29540
27	27	Perm1	29860
28	28	Perm1	30098
29	29	Perm1	30970
30	1	Perm2	3016
31	2	Perm2	5153
32	3	Perm2	9311
33	4	Perm2	10695
34	5	Perm2	13743
35	6	Perm2	16250
36	7	Perm2	17792
37	8	Perm2	19119
38	9	Perm2	19966
39	10	Perm2	20698
40	11	Perm2	21509
41	12	Perm2	22237
42	13	Perm2	22893
43	14	Perm2	23296
44	15	Perm2	24484
45	16	Perm2	25053
46	17	Perm2	25633
47	18	Perm2	26209
48	19	Perm2	26600
49	20	Perm2	26981
50	21	Perm2	27463
51	22	Perm2	27489
52	23	Perm2	28249
53	24	Perm2	28426
54	25	Perm2	28577
55	26	Perm2	29395
56	27	Perm2	30267
57	28	Perm2	30456
58	29	Perm2	30970
59	1	Perm3	2739
60	2	Perm3	5172
61	3	Perm3	6617
62	4	Perm3	10924
63	5	Perm3	12099
64	6	Perm3	15083
65	7	Perm3	16055
66	8	Perm3	16864
67	9	Perm3	17829
68	10	Perm3	18539
69	11	Perm3	19455
70	12	Perm3	20115
71	13	Perm3	20980
72	14	Perm3	21608
73	15	Perm3	23656
74	16	Perm3	24736
75	17	Perm3	25839
76	18	Perm3	26383
77	19	Perm3	26862
78	20	Perm3	27557
79	21	Perm3	28091
80	22	Perm3	28976
81	23	Perm3	29838
82	24	Perm3	30000
83	25	Perm3	30187
84	26	Perm3	30349
85	27	Perm3	30494
86	28	Perm3	30513
87	29	Perm3	30970
88	1	Perm4	3016
89	2	Perm4	7434
90	3	Perm4	8740
91	4	Perm4	10256
92	5	Perm4	13110
93	6	Perm4	15097
94	7	Perm4	16627
95	8	Perm4	17958
96	9	Perm4	18354
97	10	Perm4	19236
98	11	Perm4	19979
99	12	Perm4	21059
100	13	Perm4	22300
101	14	Perm4	22942
102	15	Perm4	23445
103	16	Perm4	24286
104	17	Perm4	25222
105	18	Perm4	25869
106	19	Perm4	26579
107	20	Perm4	27218
108	21	Perm4	27693
109	22	Perm4	27892
110	23	Perm4	27943
111	24	Perm4	28351
112	25	Perm4	28865
113	26	Perm4	29292
114	27	Perm4	29791
115	28	Perm4	30521
116	29	Perm4	30970
117	1	Perm5	4288
118	2	Perm5	6993
119	3	Perm5	10805
120	4	Perm5	12617
121	5	Perm5	14313
122	6	Perm5	15888
123	7	Perm5	16885
124	8	Perm5	18370
125	9	Perm5	19369
126	10	Perm5	20183
127	11	Perm5	21080
128	12	Perm5	22146
129	13	Perm5	23096
130	14	Perm5	23592
131	15	Perm5	24020
132	16	Perm5	24679
133	17	Perm5	25395
134	18	Perm5	25606
135	19	Perm5	25627
136	20	Perm5	26239
137	21	Perm5	27026
138	22	Perm5	27416
139	23	Perm5	27563
140	24	Perm5	28140
141	25	Perm5	29016
142	26	Perm5	29527
143	27	Perm5	30084
144	28	Perm5	30578
145	29	Perm5	30970
146	1	Perm6	4356
147	2	Perm6	7060
148	3	Perm6	8304
149	4	Perm6	11430
150	5	Perm6	13533
151	6	Perm6	14594
152	7	Perm6	16299
153	8	Perm6	17797
154	9	Perm6	19261
155	10	Perm6	20321
156	11	Perm6	21279
157	12	Perm6	22203
158	13	Perm6	23493
159	14	Perm6	24074
160	15	Perm6	24906
161	16	Perm6	25800
162	17	Perm6	26639
163	18	Perm6	27099
164	19	Perm6	27386
165	20	Perm6	27694
166	21	Perm6	27876
167	22	Perm6	27992
168	23	Perm6	28028
169	24	Perm6	28510
170	25	Perm6	29099
171	26	Perm6	29744
172	27	Perm6	30234
173	28	Perm6	30535
174	29	Perm6	30970
175	1	Perm7	2989
176	2	Perm7	4414
177	3	Perm7	8538
178	4	Perm7	10315
179	5	Perm7	11763
180	6	Perm7	14904
181	7	Perm7	16273
182	8	Perm7	17221
183	9	Perm7	19043
184	10	Perm7	20399
185	11	Perm7	21638
186	12	Perm7	22489
187	13	Perm7	23059
188	14	Perm7	23775
189	15	Perm7	24297
190	16	Perm7	24887
191	17	Perm7	25563
192	18	Perm7	25960
193	19	Perm7	26757
194	20	Perm7	27270
195	21	Perm7	27708
196	22	Perm7	28549
197	23	Perm7	28725
198	24	Perm7	28866
199	25	Perm7	29491
200	26	Perm7	29797
201	27	Perm7	30325
202	28	Perm7	30732
203	29	Perm7	30970
204	1	Perm8	4821
205	2	Perm8	7507
206	3	Perm8	9270
207	4	Perm8	10614
208	5	Perm8	13145
209	6	Perm8	14284
210	7	Perm8	15399
211	8	Perm8	16700
212	9	Perm8	17552
213	10	Perm8	19285
214	11	Perm8	21272
215	12	Perm8	22385
216	13	Perm8	23107
217	14	Perm8	24007
218	15	Perm8	24536
219	16	Perm8	25125
220	17	Perm8	25598
221	18	Perm8	25808
222	19	Perm8	26158
223	20	Perm8	26964
224	21	Perm8	27262
225	22	Perm8	27739
226	23	Perm8	27789
227	24	Perm8	28365
228	25	Perm8	28889
229	26	Perm8	29187
230	27	Perm8	29710
231	28	Perm8	30165
232	29	Perm8	30970
233	1	Perm9	4631
234	2	Perm9	7476
235	3	Perm9	10244
236	4	Perm9	12182
237	5	Perm9	14184
238	6	Perm9	15487
239	7	Perm9	17086
240	8	Perm9	18425
241	9	Perm9	19508
242	10	Perm9	20505
243	11	Perm9	21681
244	12	Perm9	22499
245	13	Perm9	23283
246	14	Perm9	23946
247	15	Perm9	24534
248	16	Perm9	25129
249	17	Perm9	26107
250	18	Perm9	26637
251	19	Perm9	27097
252	20	Perm9	27819
253	21	Perm9	27842
254	22	Perm9	28667
255	23	Perm9	29289
256	24	Perm9	29519
257	25	Perm9	29939
258	26	Perm9	30070
259	27	Perm9	30545
260	28	Perm9	30831
261	29	Perm9	30970
262	1	Perm10	4821
263	2	Perm10	7557
264	3	Perm10	10747
265	4	Perm10	12796
266	5	Perm10	14123
267	6	Perm10	16144
268	7	Perm10	17731
269	8	Perm10	18989
270	9	Perm10	20134
271	10	Perm10	21067
272	11	Perm10	21767
273	12	Perm10	22864
274	13	Perm10	23778
275	14	Perm10	24677
276	15	Perm10	25398
277	16	Perm10	26088
278	17	Perm10	26681
279	18	Perm10	26707
280	19	Perm10	27274
281	20	Perm10	27640
282	21	Perm10	27821
283	22	Perm10	28317
284	23	Perm10	28472
285	24	Perm10	28608
286	25	Perm10	29159
287	26	Perm10	29898
288	27	Perm10	30037
289	28	Perm10	30565
290	29	Perm10	30970
291	1	Perm11	3367
292	2	Perm11	7727
293	3	Perm11	9167
294	4	Perm11	12701
295	5	Perm11	14583
296	6	Perm11	16092
297	7	Perm11	17298
298	8	Perm11	18910
299	9	Perm11	19908
300	10	Perm11	20168
301	11	Perm11	20875
302	12	Perm11	21832
303	13	Perm11	22309
304	14	Perm11	23252
305	15	Perm11	24073
306	16	Perm11	24465
307	17	Perm11	25159
308	18	Perm11	25911
309	19	Perm11	26805
310	20	Perm11	27179
311	21	Perm11	27315
312	22	Perm11	27467
313	23	Perm11	28056
314	24	Perm11	28598
315	25	Perm11	29138
316	26	Perm11	29551
317	27	Perm11	30371
318	28	Perm11	30828
319	29	Perm11	30970
320	1	Perm12	1643
321	2	Perm12	4572
322	3	Perm12	6572
323	4	Perm12	7871
324	5	Perm12	9307
325	6	Perm12	12775
