Genome	Permutation	Clusters
1	1	Perm1	12841
2	2	Perm1	18932
3	3	Perm1	20715
4	4	Perm1	21616
5	5	Perm1	22441
6	6	Perm1	23493
7	7	Perm1	23982
8	8	Perm1	24289
9	9	Perm1	24637
10	10	Perm1	24839
11	11	Perm1	25244
12	12	Perm1	25998
13	13	Perm1	26214
14	14	Perm1	26622
15	15	Perm1	27175
16	16	Perm1	27507
17	17	Perm1	27869
18	18	Perm1	28061
19	19	Perm1	28411
20	20	Perm1	28597
21	21	Perm1	28778
22	22	Perm1	28941
23	23	Perm1	29044
24	24	Perm1	29156
25	25	Perm1	29277
26	26	Perm1	29412
27	27	Perm1	29553
28	28	Perm1	29639
29	29	Perm1	29897
30	1	Perm2	16277
31	2	Perm2	18774
32	3	Perm2	20656
33	4	Perm2	22154
34	5	Perm2	23223
35	6	Perm2	23797
36	7	Perm2	24359
37	8	Perm2	24663
38	9	Perm2	25258
39	10	Perm2	25663
40	11	Perm2	25926
41	12	Perm2	26718
42	13	Perm2	26884
43	14	Perm2	27146
44	15	Perm2	27438
45	16	Perm2	27780
46	17	Perm2	27974
47	18	Perm2	28175
48	19	Perm2	28354
49	20	Perm2	28478
50	21	Perm2	28609
51	22	Perm2	28892
52	23	Perm2	28999
53	24	Perm2	29190
54	25	Perm2	29309
55	26	Perm2	29434
56	27	Perm2	29707
57	28	Perm2	29812
58	29	Perm2	29897
59	1	Perm3	16122
60	2	Perm3	19275
61	3	Perm3	20663
62	4	Perm3	21489
63	5	Perm3	21918
64	6	Perm3	22342
65	7	Perm3	22973
66	8	Perm3	24306
67	9	Perm3	25042
68	10	Perm3	25593
69	11	Perm3	26056
70	12	Perm3	26331
71	13	Perm3	27099
72	14	Perm3	27390
73	15	Perm3	27618
74	16	Perm3	27975
75	17	Perm3	28148
76	18	Perm3	28327
77	19	Perm3	28643
78	20	Perm3	28781
79	21	Perm3	28921
80	22	Perm3	29107
81	23	Perm3	29229
82	24	Perm3	29302
83	25	Perm3	29455
84	26	Perm3	29589
85	27	Perm3	29676
86	28	Perm3	29802
87	29	Perm3	29897
88	1	Perm4	16294
89	2	Perm4	19051
90	3	Perm4	20694
91	4	Perm4	21614
92	5	Perm4	22487
93	6	Perm4	22982
94	7	Perm4	23530
95	8	Perm4	24173
96	9	Perm4	24597
97	10	Perm4	25785
98	11	Perm4	26214
99	12	Perm4	26482
100	13	Perm4	26762
101	14	Perm4	27005
102	15	Perm4	27158
103	16	Perm4	27341
104	17	Perm4	27539
105	18	Perm4	27700
106	19	Perm4	28422
107	20	Perm4	28655
108	21	Perm4	28828
109	22	Perm4	29113
110	23	Perm4	29220
111	24	Perm4	29346
112	25	Perm4	29445
113	26	Perm4	29576
114	27	Perm4	29660
115	28	Perm4	29802
116	29	Perm4	29897
117	1	Perm5	16040
118	2	Perm5	18280
119	3	Perm5	19633
120	4	Perm5	20637
121	5	Perm5	21095
122	6	Perm5	22657
123	7	Perm5	23776
124	8	Perm5	24233
125	9	Perm5	24542
126	10	Perm5	24830
127	11	Perm5	25850
128	12	Perm5	26008
129	13	Perm5	26616
130	14	Perm5	26934
131	15	Perm5	27074
132	16	Perm5	27505
133	17	Perm5	27856
134	18	Perm5	27970
135	19	Perm5	28268
136	20	Perm5	28411
137	21	Perm5	28620
138	22	Perm5	28787
139	23	Perm5	28982
140	24	Perm5	29173
141	25	Perm5	29265
142	26	Perm5	29391
143	27	Perm5	29652
144	28	Perm5	29763
145	29	Perm5	29897
146	1	Perm6	16084
147	2	Perm6	19136
148	3	Perm6	20475
149	4	Perm6	21131
150	5	Perm6	21592
151	6	Perm6	22198
152	7	Perm6	23175
153	8	Perm6	23845
154	9	Perm6	24305
155	10	Perm6	24711
156	11	Perm6	25077
157	12	Perm6	25358
158	13	Perm6	26488
159	14	Perm6	27269
160	15	Perm6	27480
161	16	Perm6	27760
162	17	Perm6	28014
163	18	Perm6	28242
164	19	Perm6	28445
165	20	Perm6	28617
166	21	Perm6	28731
167	22	Perm6	28918
168	23	Perm6	29048
169	24	Perm6	29150
170	25	Perm6	29430
171	26	Perm6	29576
172	27	Perm6	29690
173	28	Perm6	29779
174	29	Perm6	29897
175	1	Perm7	16482
176	2	Perm7	19231
177	3	Perm7	21007
178	4	Perm7	22188
179	5	Perm7	23135
180	6	Perm7	24086
181	7	Perm7	24707
182	8	Perm7	25160
183	9	Perm7	25641
184	10	Perm7	26000
185	11	Perm7	26425
186	12	Perm7	26838
187	13	Perm7	27041
188	14	Perm7	27318
189	15	Perm7	27594
190	16	Perm7	27735
191	17	Perm7	27915
192	18	Perm7	28102
193	19	Perm7	28416
194	20	Perm7	28539
195	21	Perm7	28805
196	22	Perm7	28966
197	23	Perm7	29074
198	24	Perm7	29192
199	25	Perm7	29315
200	26	Perm7	29404
201	27	Perm7	29645
202	28	Perm7	29768
203	29	Perm7	29897
204	1	Perm8	15418
205	2	Perm8	18975
206	3	Perm8	20612
207	4	Perm8	21853
208	5	Perm8	22739
209	6	Perm8	23357
210	7	Perm8	24001
211	8	Perm8	24451
212	9	Perm8	24848
213	10	Perm8	25150
214	11	Perm8	25479
215	12	Perm8	26615
216	13	Perm8	26971
217	14	Perm8	27172
218	15	Perm8	27918
219	16	Perm8	28168
220	17	Perm8	28370
221	18	Perm8	28510
222	19	Perm8	28712
223	20	Perm8	28848
224	21	Perm8	28989
225	22	Perm8	29142
226	23	Perm8	29241
227	24	Perm8	29337
228	25	Perm8	29429
229	26	Perm8	29577
230	27	Perm8	29667
231	28	Perm8	29790
232	29	Perm8	29897
233	1	Perm9	15935
234	2	Perm9	19187
235	3	Perm9	20565
236	4	Perm9	22270
237	5	Perm9	23216
238	6	Perm9	23995
239	7	Perm9	24402
240	8	Perm9	24944
241	9	Perm9	25241
242	10	Perm9	25726
243	11	Perm9	26001
244	12	Perm9	26446
245	13	Perm9	26694
246	14	Perm9	27067
247	15	Perm9	27317
248	16	Perm9	27984
249	17	Perm9	28158
250	18	Perm9	28371
251	19	Perm9	28571
252	20	Perm9	28842
253	21	Perm9	28957
254	22	Perm9	29099
255	23	Perm9	29257
256	24	Perm9	29376
257	25	Perm9	29475
258	26	Perm9	29591
259	27	Perm9	29683
260	28	Perm9	29812
261	29	Perm9	29897
262	1	Perm10	15484
263	2	Perm10	18225
264	3	Perm10	20528
265	4	Perm10	22246
266	5	Perm10	23307
267	6	Perm10	23953
268	7	Perm10	24529
269	8	Perm10	25137
270	9	Perm10	25653
271	10	Perm10	26016
272	11	Perm10	26334
273	12	Perm10	26647
274	13	Perm10	26869
275	14	Perm10	27032
276	15	Perm10	27181
277	16	Perm10	27414
278	17	Perm10	27581
279	18	Perm10	27810
280	19	Perm10	27938
281	20	Perm10	28179
282	21	Perm10	28322
283	22	Perm10	28474
284	23	Perm10	28603
285	24	Perm10	28725
286	25	Perm10	29345
287	26	Perm10	29440
288	27	Perm10	29511
289	28	Perm10	29665
290	29	Perm10	29897
291	1	Perm11	16260
292	2	Perm11	19268
293	3	Perm11	20747
294	4	Perm11	21581
295	5	Perm11	22608
296	6	Perm11	23175
297	7	Perm11	23772
298	8	Perm11	24142
299	9	Perm11	24649
300	10	Perm11	25850
301	11	Perm11	26155
302	12	Perm11	26454
303	13	Perm11	26705
304	14	Perm11	26862
305	15	Perm11	27066
306	16	Perm11	27221
307	17	Perm11	27469
308	18	Perm11	27676
309	19	Perm11	27880
310	20	Perm11	28031
311	21	Perm11	28137
312	22	Perm11	28239
313	23	Perm11	28507
314	24	Perm11	28650
315	25	Perm11	28762
316	26	Perm11	29439
317	27	Perm11	29700
318	28	Perm11	29793
319	29	Perm11	29897
320	1	Perm12	15484
321	2	Perm12	18323
322	3	Perm12	19776
323	4	Perm12	20579
324	5	Perm12	21070
325	6	Perm12	21706
326	7	Perm12	22000
327	8	Perm12	23347
328	9	Perm12	23574
329	10	Perm12	24318
330	11	Perm12	24774
331	12	Perm12	25087
332	13	Perm12	26257
333	14	Perm12	26755
334	15	Perm12	26990
335	16	Perm12	27131
336	17	Perm12	27403
337	18	Perm12	27659
338	19	Perm12	27903
339	20	Perm12	28078
340	21	Perm12	28364
341	22	Perm12	28485
342	23	Perm12	29175
343	24	Perm12	29274
344	25	Perm12	29436
345	26	Perm12	29605
346	27	Perm12	29711
347	28	Perm12	29780
348	29	Perm12	29897
349	1	Perm13	16143
350	2	Perm13	18892
351	3	Perm13	20717
352	4	Perm13	21822
353	5	Perm13	22625
354	6	Perm13	23077
355	7	Perm13	23360
356	8	Perm13	24064
357	9	Perm13	24586
358	10	Perm13	24992
359	11	Perm13	25262
360	12	Perm13	25461
361	13	Perm13	25794
362	14	Perm13	26094
363	15	Perm13	26268
364	16	Perm13	26544
365	17	Perm13	26742
366	18	Perm13	26949
367	19	Perm13	27101
368	20	Perm13	27393
369	21	Perm13	27554
370	22	Perm13	27692
371	23	Perm13	27795
372	24	Perm13	28858
373	25	Perm13	28955
374	26	Perm13	29079
375	27	Perm13	29169
376	28	Perm13	29289
377	29	Perm13	29897
378	1	Perm14	16047
379	2	Perm14	18545
380	3	Perm14	20240
381	4	Perm14	21336
382	5	Perm14	22164
383	6	Perm14	23588
384	7	Perm14	24554
