Differential,Swan,Pc14,Pc35,Pc36,Pc38,Pc39,Pc40,Pc45,Pc46,Pc48,Pc50,Pc51,Pc52,Pc54,Pc56,Pc57,Pc58,Pc61,Pc62,Pc63,Pc64,Pc67,Pc68,Pc70,Pc71,Amagalon,Culgoa,WIX4361.9,X716
20ACT14,4,4,3,3,3,3,3,;C,1,4,3,1;,3,1;,3,3,3,2,;C,;C,1;,3,3,3,2,;C,3,1,3
20ACT25,3,3,3,3,3,3,3,1;,1,3,3,1,3,1;,3,3,3,2,1,;C,1,3,3,3,3,;C,2,;C,3
20ACT27,3,3,;C,2,;C,;C,1,3,3,;C,1;,3,;C,3,1,3,;C,3,3,;C,4,2,;,3,;C,;,;C,;C,3
20ACT40,3,1,;C,1;,;C,;C,;C,1,;C,;C,;C,;C,;C,1,2,;C,;C,;C,;C,;C,;C,3,;C,3,;C,;C,;C,;C,;C
20ACT80,3,3,1;,1,;C,;C,;C,1,;C,;C,;,;C,;C,3,3,;C,;C,;C,;C,;C,;C,3,;C,3,;C,;C,;C,;C,;C
20NSW19,3,3,;C,1;,;C,;C,1;,4,4,;C,;C,3,;C,3,1;,3,;C,2,3,;C,3,1,;C,3,1;,;C,;C,;C,2
20NSW20,3,2,1;,3,;C,;C,3,3,3,1;,;C,3,;C,3,2,3,;C,2,3,;C,3,3,;C,3,;C,;C,;,;C,3
20QLD11,3,3,3,3,3,3,3,1,;C,3,3,1;,3,;C,3,3,3,3,1,1;,;C,3,3,3,3,0,3,1;,3
20QLD86,3,3,3,3,3,3,3,;C,;C,3,3,1;,3,1;,3,3,3,2,;C,;C,;C,3,3,3,3,;C,2,;C,3
20WA71,3,3,1;,1;,;C,2,1,3,2,1;,1;,2,;C,3,1;,3,;C,2,;C,;C,;C,2,1;,3,2,;,;C,;C,1
20WA72,3,3,1;,1;,;C,3,1,3,;C,;C,;,1,;C,3,1;,3,;C,2,;C,;C,1;,1,0,3,3,;C,;C,;C,1
20WA73,3,3,1;,1;,;C,3,1,3,3,3,;C,1,1,3,1;,3,;C,3,1;,;C,1;,3,;C,3,3,;C,;C,;C,;C
20WA89,3,3,;,1;,;,1,3,3,3,3,;C,3,1;,3,1;,3,;C,2,;C,;C,3,1;,;C,3,;C,;C,;C,;C,2
20WA93,3,3,2,1,;C,3,1;,3,0,;C,;C,2,;C,3,1,3,;C,3,;C,;C,1;,1,;C,3,2,;C,;C,;C,2
20WA94,4,3,;C,1;,;C,3,2,4,3,3,;C,;C,1;,3,1,3,;C,3,;C,;C,1;,2,;C,3,1,;C,;C,;C,;C
20WA95,3,3,1;,1,1;,3,2,3,;C,1,1;,1;,1,3,2,3,1,3,;C,;,1;,2,1;,3,3,0,1,1;,2
20WA97,3,3,1;,3,1;,3,3,1;,;C,;C,;C,2,;C,1;,2,3,1;,1,;C,;C,;C,3,0,3,3,;C,1,1,1
21ACT105,3,2,1;,1,;C,;C,1,2,1,;C,;C,3,;C,3,2,3,;C,1;,1,;C,2,2,;C,3,;C,;C,;C,;C,;C
21ACT106,3,3,1;,1;,;C,;C,3,3,3,;C,1;,3,;C,3,1,2,;C,3,3,;C,3,2,;C,3,;C,;C,;C,;C,1;
21ACT112,3,3,;C,3,;C,;C,3,3,3,;C,;C,3,;C,3,3,3,;C,2,3,;C,3,1,;C,3,;C,;C,;C,;C,3
21ACT116,3,1,1;,1;,;C,;C,;C,1;,;C,;,;,;C,;C,2,2,;C,;C,;C,;C,;C,;C,1,;C,4,;C,;C,;C,;C,;C
21NSW100,3,3,1;,3,3,3,3,;C,;C,1;,1;,3,;C,;C,1;,3,3,1;,;C,3,;C,3,;,3,3,;C,1,2,2
21NSW102,3,3,3,3,;C,1;,;C,1,;C,;C,;C,;C,;C,3,3,1;,;C,;C,;C,;C,;C,3,;C,3,;C,;,;C,;C,1;
21NSW141,3,3,;C,2,;C,;C,2,3,3,;C,1;,3,;C,3,3,3,;C,1;,3,;C,3,1;,;C,3,;C,;C,;C,;C,2
21NSW142,3,2,3,2,;C,1;,1,3,;C,;C,0,;C,;C,2,2,;C,;C,;C,;C,;C,;C,1,;C,3,;C,;C,;C,;C,;C
21QLD135,3,3,1;,3,3,3,3,;C,;C,;C,;C,1;,;C,3,3,3,3,;C,;C,3,;C,3,;,3,3,;C,;C,;C,3
21WA134,3,3,;C,1,;C,1,3,3,3,;C,;C,1,;C,3,1;,3,;C,;C,1,;C,1,1;,;C,3,;C,;C,;C,;C,1
21WA136,3,2,;C,1;,;C,3,2,3,;,;C,;C,1;,;C,3,1,3,;C,2,;C,;C,2,1;,;C,3,1;,;,;C,;C,;C
21WA137,3,2,1,;C,;C,3,1;,3,0,;C,;,2,;C,3,1;,3,;C,2,;C,;C,1,3,0,3,2,;C,;C,;C,1;
21WA138,3,2,1;,2,;C,1;,2,3,3,;C,;C,2,;C,3,2,3,;C,2,2,;C,3,3,0,3,;C,;C,;C,;C,1;
21WA139,3,2,2,2,;C,3,2,3,3,;C,;C,;C,;,3,2,1,;C,1;,2,;C,3,2,0,3,;C,;C,;C,;C,;C
22NSW08,4,3,4,4,4,4,4,4,3,4,;,3,4,4,4,4,4,3,2,;C,2,4,4,4,3,4,3,3,4
