Isolate	Lineage	hap3_ident	hap3_shared	hap4_ident	hap4_shared	hap25_ident	hap25_shared	hap26_ident	hap26_shared
20ACT14	L1	99.83	96.52	99.83	96.57	99.83	96.57	99.90	97.92
20ACT25	L1	99.91	98.22	99.92	98.34	99.92	98.32	99.92	98.38
20QLD11	L1	99.71	94.02	99.71	94.08	99.71	94.09	99.88	97.46
20QLD86	L1	99.67	93.38	99.68	93.43	99.68	93.43	99.87	97.35
20WA97	L1	99.69	93.63	99.69	93.67	99.69	93.68	99.88	97.46
21NSW100	L1	99.66	93.15	99.67	93.24	99.67	93.23	99.87	97.31
21NSW102	L1	99.66	93.15	99.67	93.25	99.67	93.21	99.87	97.22
21QLD135	L1	99.68	93.41	99.68	93.49	99.68	93.48	99.88	97.41
22NSW08	L1	99.74	94.75	99.75	94.86	99.74	94.78	99.90	97.85
22NSW101	L1	99.67	93.24	99.67	93.33	99.67	93.31	99.87	97.32
22NSW102	L1	99.67	93.29	99.68	93.40	99.67	93.39	99.87	97.34
22NSW103	L1	99.71	94.06	99.71	94.14	99.71	94.13	99.89	97.64
22NSW105	L1	99.68	93.48	99.69	93.62	99.68	93.54	99.87	97.38
22NSW106	L1	99.68	93.46	99.68	93.56	99.68	93.58	99.88	97.43
22NSW107	L1	99.71	94.07	99.71	94.17	99.71	94.13	99.88	97.57
22NSW108	L1	99.67	93.38	99.68	93.46	99.68	93.45	99.88	97.41
22NSW109	L1	99.67	93.27	99.67	93.39	99.67	93.37	99.87	97.37
22NSW123	L1	99.76	95.16	99.77	95.23	99.77	95.20	99.90	97.90
22NSW79	L1	99.70	93.94	99.71	94.01	99.71	94.03	99.88	97.52
22NSW80	L1	99.70	93.98	99.71	94.00	99.71	94.02	99.88	97.56
22NSW81	L1	99.76	95.13	99.77	95.19	99.76	95.17	99.89	97.71
22NSW97	L1	99.68	93.47	99.69	93.60	99.68	93.52	99.87	97.38
22QLD110	L1	99.68	93.49	99.69	93.62	99.68	93.56	99.87	97.39
22QLD114	L1	99.72	94.23	99.72	94.23	99.73	94.49	99.89	97.81
