isolate	haplotype	interest	ident	contain
Pca203	hap13	N	99.81	96.14
20NSW19	hap13	N	99.29	86.16
20NSW20	hap13	N	99.28	85.89
20ACT27	hap13	N	99.33	86.86
21ACT106	hap13	N	99.29	86.08
21ACT112	hap13	N	99.29	86.04
21NSW141	hap13	N	99.29	86.18
21WA138	hap13	N	99.30	86.30
22SA12	hap13	N	99.33	86.87
22WA27	hap13	N	99.32	86.70
22WA22	hap13	N	99.33	86.90
22WA43	hap13	N	99.37	87.61
22VIC01	hap13	N	99.35	87.17
22NSW121	hap13	N	99.31	86.48
22NSW75	hap13	N	99.30	86.22
22NSW76	hap13	N	99.54	90.84
22NSW84	hap13	N	99.34	86.98
22VIC49	hap13	N	99.62	92.32
22VIC67	hap13	N	99.36	87.40
22VIC71	hap13	N	99.34	86.98
22VIC74	hap13	N	99.49	89.86
22WA18	hap13	N	99.30	86.30
22WA19	hap13	N	99.29	86.18
22WA26	hap13	N	99.32	86.65
22WA62	hap13	N	99.33	86.75
22WA63	hap13	N	99.30	86.33
22WA65	hap13	N	99.33	86.86
22VIC68	hap13	N	99.29	86.07
22VIC69	hap13	N	99.29	86.18
22VIC70	hap13	N	99.30	86.22
22VIC72	hap13	N	99.29	86.17
22NSW77	hap13	N	99.35	87.22
22NSW78	hap13	N	99.32	86.58
22NSW82	hap13	N	99.57	91.27
22NSW95	hap13	N	99.29	86.13
22NSW96	hap13	N	99.31	86.43
22NSW98	hap13	N	99.29	86.04
22NSW99	hap13	N	99.30	86.36
22NSW100	hap13	N	99.30	86.21
22NSW104	hap13	N	99.56	91.15
22SA131	hap13	N	99.35	87.11
23WA01	hap13	N	99.37	87.57
23VIC03	hap13	N	99.34	87.03
23WA17	hap13	N	99.37	87.48
23SA22	hap13	N	99.44	88.79
23NSW25	hap13	N	99.32	86.72
23SA52	hap13	N	99.34	87.07
23VIC53	hap13	N	99.35	87.22
23VIC59	hap13	N	99.34	86.94
20ACT14	hap13	N	99.70	93.97
20ACT25	hap13	N	99.79	95.69
20QLD11	hap13	N	99.68	93.56
20QLD86	hap13	N	99.67	93.38
20WA97	hap13	N	99.68	93.46
21NSW100	hap13	N	99.67	93.28
21NSW102	hap13	N	99.67	93.31
21QLD135	hap13	N	99.68	93.54
22NSW08	hap13	N	99.71	94.00
22NSW79	hap13	N	99.69	93.76
22QLD110	hap13	N	99.69	93.59
22QLD118	hap13	N	99.70	93.86
22NSW103	hap13	N	99.70	93.91
22NSW107	hap13	N	99.71	94.01
22NSW123	hap13	N	99.71	94.01
22NSW97	hap13	N	99.69	93.60
22QLD114	hap13	N	99.69	93.62
22QLD116	hap13	N	99.73	94.56
22VIC117	hap13	N	99.75	94.79
22SA132	hap13	N	99.69	93.63
22VIC126	hap13	N	99.76	95.05
22VIC128	hap13	N	99.69	93.67
22NSW80	hap13	N	99.69	93.60
22NSW81	hap13	N	99.70	93.83
22NSW101	hap13	N	99.68	93.39
22NSW102	hap13	N	99.67	93.39
22NSW105	hap13	N	99.67	93.39
22NSW106	hap13	N	99.68	93.51
22NSW108	hap13	N	99.68	93.47
22NSW109	hap13	N	99.67	93.39
22VIC130	hap13	N	99.67	93.36
23WA07	hap13	N	99.73	94.43
23VIC09	hap13	N	99.70	93.87
23WA20	hap13	N	99.70	93.93
23WA43	hap13	N	99.71	94.17
20ACT40	hap13	N	99.59	91.74
20ACT80	hap13	N	99.59	91.73
21ACT105	hap13	N	99.65	92.93
21ACT116	hap13	N	99.62	92.23
21NSW142	hap13	N	99.59	91.79
23NSW13	hap13	N	99.63	92.53
22WA50	hap13	N	99.32	86.73
22WA51	hap13	N	99.28	85.96
22QLD111	hap13	N	99.43	88.74
22QLD112	hap13	N	99.26	85.63
TW-19061	hap13	N	99.67	93.21
TW-NTU01	hap13	N	99.67	93.25
TW-NTU03	hap13	N	99.67	93.33
TW-NTU04	hap13	N	99.67	93.24
TW-SW01	hap13	N	99.67	93.25
20WA71	hap13	N	99.28	85.96
20WA72	hap13	N	99.25	85.31
20WA93	hap13	N	99.22	84.88
20WA95	hap13	N	99.26	85.51
21WA136	hap13	N	99.24	85.24
21WA137	hap13	N	99.24	85.16
22WA25	hap13	N	99.30	86.36
22WA34	hap13	N	99.34	87.07
23SA24	hap13	N	99.32	86.59
23SA31	hap13	N	99.31	86.42
90AR100-1	hap13	N	99.68	93.41
90MN14B-1	hap13	N	99.70	93.89
90MN7B-1	hap13	N	99.70	93.79
90KS101-1	hap13	1	100.00	99.99
90MN153-1	hap13	1	100.00	99.99
90MN3B-1	hap13	1	100.00	99.95
90TX52-1	hap13	1	100.00	99.99
90TX58-1	hap13	1	100.00	99.99
17FL16-1	hap13	2	99.68	93.45
17LA50-2	hap13	2	99.84	96.64
17LA50-3	hap13	2	99.68	93.46
17TX12-3	hap13	2	99.68	93.48
17TX15-3	hap13	2	99.69	93.72
17TX44-3	hap13	2	99.68	93.57
17TX59-2	hap13	2	99.71	94.15
18MNBT-34	hap13	N	99.66	93.06
18MNBT-36	hap13	N	99.71	94.17
18MNBT-50	hap13	N	99.67	93.31
20WA73	hap13	N	99.29	86.04
20WA94	hap13	N	99.30	86.20
22WA31	hap13	N	99.34	86.94
22WA30	hap13	N	99.31	86.55
22WA09	hap13	N	99.36	87.48
22WA86	hap13	N	99.34	86.98
22WA88	hap13	N	99.38	87.83
22WA89	hap13	N	99.38	87.74
22WA64	hap13	N	99.30	86.37
23VIC51	hap13	N	99.56	91.24
23NSW54	hap13	N	99.34	87.04
21WA134	hap13	N	99.33	86.86
22WA15	hap13	N	99.28	85.90
22WA28	hap13	N	99.25	85.47
22WA33	hap13	N	99.31	86.56
22WA56	hap13	N	99.25	85.34
22WA57	hap13	N	99.26	85.54
22WA58	hap13	N	99.25	85.34
20WA89	hap13	N	99.31	86.41
21WA139	hap13	N	99.25	85.34
12NC29	hap13	N	99.70	93.92
12SD80	hap13	N	99.72	94.37
15FL1-2	hap13	N	99.70	93.87
15FL1-4	hap13	N	99.68	93.47
15MN10-4	hap13	N	99.66	93.16
15MN10-5	hap13	N	99.71	94.09
15MN13-4	hap13	N	99.68	93.54
15MN14-4	hap13	N	99.70	93.95
15MN16-3	hap13	N	99.70	93.87
15MN17-5	hap13	N	99.70	93.93
15MN18-1	hap13	N	99.69	93.75
15MN18-3	hap13	N	99.66	93.12
15MN23-1	hap13	N	99.67	93.29
15MN24-1	hap13	N	99.71	94.02
15MN25-3	hap13	N	99.69	93.71
15MN27-3	hap13	N	99.67	93.22
15MS7-1	hap13	N	99.69	93.65
15ND19-5	hap13	N	99.67	93.37
15ND20-3	hap13	N	99.66	93.18
15ND20-4	hap13	N	99.68	93.45
15NE8-4	hap13	N	99.68	93.39
15NE8-5	hap13	N	99.68	93.59
15NE9-1	hap13	N	99.70	93.90
15NE9-3	hap13	N	99.70	93.94
15OH12-3	hap13	N	99.72	94.37
15SD11-1	hap13	N	99.69	93.67
15SD11-2	hap13	N	99.70	93.93
15SD30-1	hap13	N	99.70	93.84
15SD30-3	hap13	N	99.70	93.88
15TX3-1	hap13	N	99.70	93.91
16IL75-3	hap13	N	99.75	94.90
16MN100-2	hap13	N	99.66	93.17
16MN101-1	hap13	N	99.70	93.88
16MN102-1	hap13	N	99.67	93.32
16MN102-3	hap13	N	99.67	93.20
16MN105-1	hap13	N	99.66	93.05
16MN106-3	hap13	N	99.69	93.74
16MN107-1	hap13	N	99.65	92.90
16MN107-3	hap13	N	99.66	93.19
16MN110-1	hap13	N	99.68	93.52
16MN110-2	hap13	N	99.69	93.61
16MN118-2	hap13	N	99.67	93.31
16MN119-1	hap13	N	99.69	93.70
16MN121-2	hap13	N	99.67	93.29
16MN84-1	hap13	N	99.68	93.45
16MN85-1	hap13	N	99.69	93.66
16MN88-3	hap13	N	99.67	93.20
16MN90-2	hap13	N	99.69	93.67
16MN93-1	hap13	N	99.76	94.99
16MN93-2	hap13	N	99.68	93.53
16MN94-1	hap13	N	99.71	94.09
16MN94-2	hap13	N	99.73	94.58
16MN98-2	hap13	N	99.64	92.61
16MN98-3	hap13	N	99.67	93.36
16MN99-1	hap13	N	99.69	93.62
16MN99-2	hap13	N	99.66	93.17
16MN99-3	hap13	N	99.66	93.05
16SD69-1	hap13	N	99.67	93.23
16SD74-2	hap13	N	99.69	93.67
16WI76-1	hap13	N	99.68	93.57
17AR69-3	hap13	N	99.73	94.39
17FL20-1	hap13	N	99.70	93.93
17FL20-2	hap13	N	99.70	93.92
17FL20-3	hap13	N	99.70	93.87
17FL21-2	hap13	N	99.68	93.52
17FL22-2	hap13	N	99.68	93.54
17FL23-1	hap13	N	99.68	93.49
17FL23-2	hap13	N	99.68	93.45
17FL26-3	hap13	N	99.68	93.44
17IA105-1	hap13	N	99.77	95.27
17IA106-3	hap13	N	99.67	93.31
17IA108-2	hap13	N	99.65	92.97
17IA111-3	hap13	N	99.67	93.30
17IA116-1	hap13	N	99.71	94.09
17IL75-3	hap13	N	99.70	93.88
17IL76-1	hap13	N	99.69	93.76
17LA48-2	hap13	N	99.71	94.18
17LA49-3	hap13	N	99.72	94.20
17LA67-2	hap13	N	99.70	93.93
17MN145-1	hap13	N	99.69	93.73
17MN145-2	hap13	N	99.69	93.60
17MN146-1	hap13	N	99.69	93.65
17MN146-2	hap13	N	99.69	93.64
17MN150-1	hap13	N	99.69	93.78
17MN150-2	hap13	N	99.69	93.74
17MN78-2	hap13	N	99.70	93.85
17MNBT-10	hap13	N	99.67	93.34
17MNBT-11	hap13	N	99.69	93.71
17MNBT-12	hap13	N	99.66	93.15
17MNBT-13	hap13	N	99.69	93.72
17MNBT-14	hap13	N	99.67	93.36
17MNBT-15	hap13	N	99.66	93.01
17MNBT-16	hap13	N	99.71	94.13
17MNBT-17	hap13	N	99.70	93.90
17MNBT-18	hap13	N	99.68	93.48
17MNBT-19	hap13	N	99.68	93.56
17MNBT-20	hap13	N	99.73	94.49
17MNBT-21	hap13	N	99.70	93.80
17MNBT-23	hap13	N	99.67	93.38
17MNBT-24	hap13	N	99.68	93.55
17MNBT-2	hap13	N	99.69	93.64
17MNBT-3	hap13	N	99.67	93.39
17MNBT-4	hap13	N	99.69	93.70
17MNBT-5	hap13	N	99.71	94.02
17MNBT-6	hap13	N	99.68	93.46
17MNBT-7	hap13	N	99.69	93.69
17MNBT-8	hap13	N	99.66	93.02
17MNBT-9	hap13	N	99.70	93.98
17MS65-1	hap13	N	99.69	93.77
17MS65-3	hap13	N	99.69	93.77
17SD126-1	hap13	N	99.68	93.48
17SD126-2	hap13	N	99.70	93.90
17SD126-3	hap13	N	99.68	93.52
17SD129-3	hap13	N	99.67	93.31
17SD132-1	hap13	N	99.67	93.38
17SD133-2	hap13	N	99.70	93.86
17SD80-2	hap13	N	99.76	94.99
17TX1-2	hap13	N	99.69	93.77
17TX62-3	hap13	N	99.74	94.59
17TX9-2	hap13	N	99.74	94.65
18MNBT-37	hap13	N	99.73	94.41
18MNBT-38	hap13	N	99.68	93.53
18MNBT-39	hap13	N	99.66	93.18
18MNBT-41	hap13	N	99.68	93.40
18MNBT-42	hap13	N	99.65	92.95
18MNBT-43	hap13	N	99.78	95.46
18MNBT-44	hap13	N	99.68	93.42
18MNBT-45	hap13	N	99.85	96.91
18MNBT-46	hap13	N	99.69	93.64
18MNBT-47	hap13	N	99.70	93.79
18MNBT-49	hap13	N	99.71	94.02
18MNBT-51	hap13	N	99.68	93.42
18MNBT-52	hap13	N	99.73	94.53
18MNBT-53	hap13	N	99.69	93.64
18MNBT-54	hap13	N	99.68	93.52
18MNBT-55	hap13	N	99.67	93.39
18MNBT-56	hap13	N	99.68	93.49
18MNBT-57	hap13	N	99.69	93.63
18MNBT-58	hap13	N	99.72	94.20
90GA16-1	hap13	N	99.88	97.45
90LA38-1	hap13	N	99.66	93.09
90MN137-1	hap13	N	99.74	94.76
90MN13B-3	hap13	N	99.75	94.86
90MN148-1	hap13	N	99.74	94.64
90MN17B-1	hap13	N	99.73	94.49
90MN1B-1	hap13	N	99.70	93.98
90MN2B-1	hap13	N	99.70	93.95
90MN5B-1	hap13	N	99.30	86.27
90MN8B-2	hap13	N	99.74	94.71
90MN9B-4	hap13	N	99.87	97.33
90PA162-1	hap13	N	99.73	94.49
90SD164-1	hap13	N	99.66	93.12
90SD171-1	hap13	N	99.72	94.28
90SD172-1	hap13	N	99.67	93.32
90TX45-1	hap13	N	99.68	93.45
90TX47-1	hap13	N	99.75	94.90
90TX70-1	hap13	N	99.90	97.85
90WI131-1	hap13	N	99.75	94.83
90WI132-1	hap13	N	99.71	94.12
PCA16-15-1-1	hap13	N	99.31	86.48
Pca2016-10-1	hap13	N	99.25	85.36
Pca2016-1-1	hap13	N	99.26	85.49
Pca2016-13-1	hap13	N	99.29	86.15
Pca2016-15-1	hap13	N	99.28	85.96
Pca2016-16-1	hap13	N	99.25	85.40
Pca2016-2-1	hap13	N	99.26	85.48
Pca2016-3-2	hap13	N	99.25	85.38
Pca2016-6-2	hap13	N	99.25	85.45
Pca2016-8-1	hap13	N	99.26	85.54
Pca2016-9-2	hap13	N	99.25	85.41
Pca43-1	hap13	N	99.26	85.62
Pca56-3	hap13	N	99.26	85.62
Pca57-4	hap13	N	99.25	85.45
Pca58-3	hap13	N	99.26	85.52
Pca59-6	hap13	N	99.25	85.47
Pca60-7	hap13	N	99.26	85.52
Pca61-8	hap13	N	99.25	85.45
Pca62-9	hap13	N	99.26	85.59
Pca65-12	hap13	N	99.26	85.61
Pca70-17	hap13	N	99.25	85.41
Pca70-2	hap13	N	99.25	85.44
Pca73-20	hap13	N	99.26	85.49
Pca77-46	hap13	N	99.36	87.30
PCA84-1-1_1	hap13	N	99.26	85.50
PCA84-1-1	hap13	N	99.25	85.45
Pca85-1	hap13	N	99.25	85.44
Pca85-26	hap13	N	99.26	85.48
UVPca10-98	hap13	N	99.26	85.47
UVPca14-98	hap13	N	99.25	85.36
UVPca1-98	hap13	N	99.26	85.55
UVPca8-98	hap13	N	99.26	85.48
22WA53	hap13	N	99.30	86.28
22WA54	hap13	N	99.29	86.13
22WA29	hap13	N	99.31	86.40
22SA11	hap13	N	99.31	86.53
22SA10	hap13	N	99.31	86.45
22WA45	hap13	N	99.38	87.82
22WA46	hap13	N	99.34	87.05
22WA47	hap13	N	99.26	85.62
22WA55	hap13	N	99.31	86.53
22WA23	hap13	N	99.27	85.80
22WA32	hap13	N	99.45	89.03
22SA92-02	hap13	N	99.30	86.22
23WA16	hap13	N	99.38	87.80
23WA44	hap13	N	99.28	85.96
Pca203	hap14	N	99.56	91.07
20NSW19	hap14	N	99.70	93.83
20NSW20	hap14	N	99.69	93.64
20ACT27	hap14	N	99.73	94.40
21ACT106	hap14	N	99.70	93.79
21ACT112	hap14	N	99.69	93.76
21NSW141	hap14	N	99.70	93.87
21WA138	hap14	N	99.70	93.91
22SA12	hap14	N	99.73	94.56
22WA27	hap14	N	99.71	94.16
22WA22	hap14	N	99.73	94.49
22WA43	hap14	N	99.74	94.64
22VIC01	hap14	N	99.73	94.38
22NSW121	hap14	N	99.70	93.94
22NSW75	hap14	N	99.72	94.19
22NSW76	hap14	N	99.81	96.11
22NSW84	hap14	N	99.72	94.24
22VIC49	hap14	N	99.86	97.08
22VIC67	hap14	N	99.78	95.53
22VIC71	hap14	N	99.72	94.23
22VIC74	hap14	N	99.79	95.63
22WA18	hap14	N	99.70	93.90
22WA19	hap14	N	99.70	93.87
22WA26	hap14	N	99.74	94.74
22WA62	hap14	N	99.74	94.70
22WA63	hap14	N	99.71	94.05
22WA65	hap14	N	99.73	94.39
22VIC68	hap14	N	99.70	93.80
22VIC69	hap14	N	99.70	93.86
22VIC70	hap14	N	99.70	93.87
22VIC72	hap14	N	99.71	94.03
22NSW77	hap14	N	99.72	94.35
22NSW78	hap14	N	99.71	94.10
22NSW82	hap14	N	99.81	96.11
22NSW95	hap14	N	99.70	93.80
22NSW96	hap14	N	99.70	93.93
22NSW98	hap14	N	99.70	93.79
22NSW99	hap14	N	99.70	93.90
22NSW100	hap14	N	99.70	93.84
22NSW104	hap14	N	99.81	96.04
22SA131	hap14	N	99.72	94.31
23WA01	hap14	N	99.73	94.50
23VIC03	hap14	N	99.72	94.29
23WA17	hap14	N	99.75	94.81
23SA22	hap14	N	99.76	95.10
23NSW25	hap14	N	99.71	94.10
23SA52	hap14	N	99.72	94.30
23VIC53	hap14	N	99.73	94.51
23VIC59	hap14	N	99.72	94.26
20ACT14	hap14	N	99.80	95.93
20ACT25	hap14	N	99.85	96.91
20QLD11	hap14	N	99.76	94.99
20QLD86	hap14	N	99.74	94.75
20WA97	hap14	N	99.75	94.90
21NSW100	hap14	N	99.74	94.62
21NSW102	hap14	N	99.74	94.63
21QLD135	hap14	N	99.75	94.85
22NSW08	hap14	N	99.78	95.58
22NSW79	hap14	N	99.76	95.12
22QLD110	hap14	N	99.75	94.89
22QLD118	hap14	N	99.77	95.30
22NSW103	hap14	N	99.77	95.27
22NSW107	hap14	N	99.77	95.22
22NSW123	hap14	N	99.79	95.61
22NSW97	hap14	N	99.75	94.84
22QLD114	hap14	N	99.76	95.15
22QLD116	hap14	N	99.83	96.45
