isolate	haplotype	interest	ident	contain
Pca203	hap5	N	99.53	90.60
20NSW19	hap5	N	99.68	93.57
20NSW20	hap5	N	99.67	93.34
20ACT27	hap5	N	99.74	94.64
21ACT106	hap5	N	99.68	93.50
21ACT112	hap5	N	99.68	93.48
21NSW141	hap5	N	99.68	93.58
21WA138	hap5	N	99.69	93.61
22SA12	hap5	N	99.74	94.65
22WA27	hap5	N	99.70	93.86
22WA22	hap5	N	99.73	94.48
22WA43	hap5	N	99.74	94.72
22VIC01	hap5	N	99.72	94.20
22NSW121	hap5	N	99.70	93.79
22NSW75	hap5	N	99.72	94.30
22NSW76	hap5	N	99.87	97.40
22NSW84	hap5	N	99.70	93.98
22VIC49	hap5	N	99.95	98.94
22VIC67	hap5	N	99.83	96.51
22VIC71	hap5	N	99.71	94.10
22VIC74	hap5	N	99.83	96.53
22WA18	hap5	N	99.69	93.64
22WA19	hap5	N	99.68	93.57
22WA26	hap5	N	99.76	95.14
22WA62	hap5	N	99.76	95.02
22WA63	hap5	N	99.70	93.93
22WA65	hap5	N	99.73	94.57
22VIC68	hap5	N	99.68	93.56
22VIC69	hap5	N	99.69	93.60
22VIC70	hap5	N	99.69	93.65
22VIC72	hap5	N	99.70	93.87
22NSW77	hap5	N	99.72	94.34
22NSW78	hap5	N	99.71	94.05
22NSW82	hap5	N	99.88	97.47
22NSW95	hap5	N	99.68	93.53
22NSW96	hap5	N	99.69	93.65
22NSW98	hap5	N	99.68	93.49
22NSW99	hap5	N	99.69	93.62
22NSW100	hap5	N	99.68	93.54
22NSW104	hap5	N	99.87	97.29
22SA131	hap5	N	99.73	94.38
23WA01	hap5	N	99.73	94.42
23VIC03	hap5	N	99.71	94.03
23WA17	hap5	N	99.75	94.79
23SA22	hap5	N	99.77	95.34
23NSW25	hap5	N	99.70	93.86
23SA52	hap5	N	99.71	94.08
23VIC53	hap5	N	99.73	94.39
23VIC59	hap5	N	99.71	94.03
20ACT14	hap5	1	100.00	99.96
20ACT25	hap5	1	100.00	99.96
20QLD11	hap5	1	100.00	99.96
20QLD86	hap5	1	100.00	99.98
20WA97	hap5	1	100.00	99.90
21NSW100	hap5	1	100.00	99.91
21NSW102	hap5	1	99.99	99.76
21QLD135	hap5	1	100.00	99.90
22NSW08	hap5	1	100.00	99.91
22NSW79	hap5	1	99.99	99.84
22QLD110	hap5	1	99.99	99.80
22QLD118	hap5	1	100.00	99.96
22NSW103	hap5	1	100.00	99.91
22NSW107	hap5	1	99.99	99.83
22NSW123	hap5	1	100.00	99.90
22NSW97	hap5	1	99.99	99.81
22QLD114	hap5	1	100.00	99.90
22QLD116	hap5	1	100.00	99.95
22VIC117	hap5	1	100.00	99.93
22SA132	hap5	1	100.00	99.91
22VIC126	hap5	1	100.00	99.94
22VIC128	hap5	1	99.99	99.81
22NSW80	hap5	1	100.00	99.90
22NSW81	hap5	1	100.00	99.92
22NSW101	hap5	1	100.00	99.94
22NSW102	hap5	1	100.00	99.95
22NSW105	hap5	1	99.99	99.77
22NSW106	hap5	1	99.99	99.82
22NSW108	hap5	1	100.00	99.97
22NSW109	hap5	1	99.99	99.89
22VIC130	hap5	1	99.99	99.79
23WA07	hap5	1	100.00	99.96
23VIC09	hap5	1	99.99	99.88
23WA20	hap5	1	100.00	99.96
23WA43	hap5	1	100.00	99.96
20ACT40	hap5	2	99.99	99.83
20ACT80	hap5	2	99.99	99.84
21ACT105	hap5	2	99.99	99.87
21ACT116	hap5	2	99.99	99.87
21NSW142	hap5	2	99.99	99.85
23NSW13	hap5	2	99.99	99.89
22WA50	hap5	3	100.00	99.90
22WA51	hap5	3	99.99	99.89
22QLD111	hap5	3	99.99	99.89
22QLD112	hap5	3	99.99	99.86
TW-19061	hap5	4	99.68	93.53
TW-NTU01	hap5	4	99.68	93.57
TW-NTU03	hap5	4	99.69	93.64
TW-NTU04	hap5	4	99.68	93.53
TW-SW01	hap5	4	99.69	93.60
20WA71	hap5	N	99.83	96.51
20WA72	hap5	N	99.80	95.79
20WA93	hap5	N	99.78	95.53
20WA95	hap5	N	99.79	95.78
21WA136	hap5	N	99.79	95.65
21WA137	hap5	N	99.79	95.63
22WA25	hap5	N	99.83	96.47
22WA34	hap5	N	99.90	97.86
23SA24	hap5	N	99.81	96.16
23SA31	hap5	N	99.81	96.14
90AR100-1	hap5	N	99.66	93.12
90MN14B-1	hap5	N	99.33	86.83
90MN7B-1	hap5	N	99.34	87.00
90KS101-1	hap5	N	99.71	94.11
90MN153-1	hap5	N	99.72	94.23
90MN3B-1	hap5	N	99.72	94.22
90TX52-1	hap5	N	99.72	94.33
90TX58-1	hap5	N	99.71	94.16
17FL16-1	hap5	N	99.70	93.90
17LA50-2	hap5	N	99.76	95.01
17LA50-3	hap5	N	99.70	93.91
17TX12-3	hap5	N	99.70	93.93
17TX15-3	hap5	N	99.71	94.02
17TX44-3	hap5	N	99.71	94.00
17TX59-2	hap5	N	99.71	94.14
18MNBT-34	hap5	N	99.32	86.59
18MNBT-36	hap5	N	99.35	87.20
18MNBT-50	hap5	N	99.31	86.46
20WA73	hap5	N	99.88	97.54
20WA94	hap5	N	99.90	97.83
22WA31	hap5	N	99.89	97.69
22WA30	hap5	N	99.89	97.64
22WA09	hap5	N	99.90	97.99
22WA86	hap5	N	99.89	97.75
22WA88	hap5	N	99.91	98.10
22WA89	hap5	N	99.90	97.84
22WA64	hap5	N	99.88	97.57
23VIC51	hap5	N	99.95	98.95
23NSW54	hap5	N	99.89	97.68
21WA134	hap5	N	99.83	96.52
22WA15	hap5	N	99.78	95.48
22WA28	hap5	N	99.78	95.50
22WA33	hap5	N	99.84	96.76
22WA56	hap5	N	99.77	95.32
22WA57	hap5	N	99.79	95.73
22WA58	hap5	N	99.77	95.27
20WA89	hap5	N	99.85	96.86
21WA139	hap5	N	99.82	96.38
12NC29	hap5	N	99.72	94.18
12SD80	hap5	N	99.35	87.29
15FL1-2	hap5	N	99.30	86.37
15FL1-4	hap5	N	99.34	86.94
15MN10-4	hap5	N	99.31	86.53
15MN10-5	hap5	N	99.32	86.56
15MN13-4	hap5	N	99.27	85.69
15MN14-4	hap5	N	99.30	86.32
15MN16-3	hap5	N	99.31	86.46
15MN17-5	hap5	N	99.31	86.42
15MN18-1	hap5	N	99.29	86.14
15MN18-3	hap5	N	99.30	86.28
15MN23-1	hap5	N	99.30	86.27
15MN24-1	hap5	N	99.31	86.38
15MN25-3	hap5	N	99.32	86.68
15MN27-3	hap5	N	99.28	85.92
15MS7-1	hap5	N	99.30	86.25
15ND19-5	hap5	N	99.27	85.72
15ND20-3	hap5	N	99.29	86.11
15ND20-4	hap5	N	99.27	85.77
15NE8-4	hap5	N	99.26	85.56
15NE8-5	hap5	N	99.27	85.76
15NE9-1	hap5	N	99.31	86.41
15NE9-3	hap5	N	99.31	86.48
15OH12-3	hap5	N	99.33	86.80
15SD11-1	hap5	N	99.28	85.98
15SD11-2	hap5	N	99.33	86.86
15SD30-1	hap5	N	99.30	86.34
15SD30-3	hap5	N	99.31	86.40
15TX3-1	hap5	N	99.31	86.44
16IL75-3	hap5	N	99.36	87.33
16MN100-2	hap5	N	99.29	86.01
16MN101-1	hap5	N	99.31	86.42
16MN102-1	hap5	N	99.30	86.32
16MN102-3	hap5	N	99.30	86.25
16MN105-1	hap5	N	99.28	85.85
16MN106-3	hap5	N	99.30	86.24
16MN107-1	hap5	N	99.33	86.86
16MN107-3	hap5	N	99.28	86.01
16MN110-1	hap5	N	99.30	86.19
16MN110-2	hap5	N	99.30	86.32
16MN118-2	hap5	N	99.27	85.75
16MN119-1	hap5	N	99.29	86.17
16MN121-2	hap5	N	99.33	86.81
16MN84-1	hap5	N	99.31	86.54
16MN85-1	hap5	N	99.34	87.03
16MN88-3	hap5	N	99.29	86.17
16MN90-2	hap5	N	99.30	86.35
16MN93-1	hap5	N	99.36	87.41
16MN93-2	hap5	N	99.31	86.56
16MN94-1	hap5	N	99.33	86.89
16MN94-2	hap5	N	99.39	87.85
16MN98-2	hap5	N	99.25	85.38
16MN98-3	hap5	N	99.29	86.11
16MN99-1	hap5	N	99.31	86.56
16MN99-2	hap5	N	99.30	86.34
16MN99-3	hap5	N	99.28	85.85
16SD69-1	hap5	N	99.33	86.74
16SD74-2	hap5	N	99.33	86.75
16WI76-1	hap5	N	99.31	86.41
17AR69-3	hap5	N	99.36	87.30
17FL20-1	hap5	N	99.31	86.53
17FL20-2	hap5	N	99.31	86.51
17FL20-3	hap5	N	99.30	86.37
17FL21-2	hap5	N	99.34	87.01
17FL22-2	hap5	N	99.34	86.98
17FL23-1	hap5	N	99.34	86.97
17FL23-2	hap5	N	99.34	86.96
17FL26-3	hap5	N	99.33	86.89
17IA105-1	hap5	N	99.37	87.60
17IA106-3	hap5	N	99.33	86.78
17IA108-2	hap5	N	99.30	86.34
17IA111-3	hap5	N	99.31	86.42
17IA116-1	hap5	N	99.31	86.47
17IL75-3	hap5	N	99.31	86.47
17IL76-1	hap5	N	99.30	86.31
17LA48-2	hap5	N	99.37	87.48
17LA49-3	hap5	N	99.32	86.69
17LA67-2	hap5	N	99.32	86.62
17MN145-1	hap5	N	99.31	86.45
17MN145-2	hap5	N	99.30	86.34
17MN146-1	hap5	N	99.31	86.53
17MN146-2	hap5	N	99.31	86.44
17MN150-1	hap5	N	99.32	86.62
17MN150-2	hap5	N	99.31	86.55
17MN78-2	hap5	N	99.32	86.63
17MNBT-10	hap5	N	99.33	86.82
17MNBT-11	hap5	N	99.32	86.73
17MNBT-12	hap5	N	99.32	86.72
17MNBT-13	hap5	N	99.31	86.51
17MNBT-14	hap5	N	99.32	86.59
17MNBT-15	hap5	N	99.30	86.20
17MNBT-16	hap5	N	99.32	86.70
17MNBT-17	hap5	N	99.33	86.82
17MNBT-18	hap5	N	99.29	86.18
17MNBT-19	hap5	N	99.29	86.12
17MNBT-20	hap5	N	99.36	87.48
