Genome	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18
hap15	7791297	6617095	6938106	7235965	7107813	5538317	5744168	5797228	6783197	5548831	5739151	4939799	5435315	3601955	4198335	4137724	3630513	3259550
hap16	7988017	6672797	6564485	7771057	7037509	5146604	6118570	5788460	6252937	5592934	5868698	4587889	4883064	3828638	3949802	4185255	3874458	3262859
hap7	7679739	6857637	6469494	7820233	6798318	5273686	5585324	5933043	5659574	5385820	5614330	4454842	4905004	3527960	4255355	4108710	3869057	3488065
hap8	7343877	6456624	6452468	7824119	6920426	5325634	5637525	5855444	7456321	5403319	5587598	4442596	4908598	3558128	3968692	3994678	4137509	3403996
hap9	7504037	6580342	6394622	7613668	7050755	5490293	5563291	5734809	6855992	5552262	6076111	4437038	4892497	3591365	3995506	4291470	4142223	3447679
hap10	7860593	6501810	6715613	7858269	7251033	5208682	5843900	5788211	6126728	5270553	5693427	5013410	4873877	3814037	4413830	4287238	3778092	3396153
hap11	8362625	6603482	6665675	7749064	7219954	5121595	5932752	5794303	6198631	5372422	5625268	4782321	4897987	3638348	4234260	4228583	3950016	3363735
hap12	7908045	6459650	6790605	7658052	6988380	5117708	6055530	5914575	6937348	5662702	5680095	4789785	5144142	3855203	4194134	4470285	3689231	3225757
hap3	7398847	6583253	6523530	7798107	6970102	5435559	5642989	5756488	6694990	5490256	5723791	4438478	4607633	3631345	4240586	4108742	3997444	3464049
hap4	7618502	6807853	6426316	7918288	6969699	5199878	5611590	5792350	5910465	5464858	5526041	4136459	4779110	3604278	3889886	4364997	3775351	3461624
hap5	7260213	6347381	6533542	7524736	6706395	5539965	5571235	5735989	6672507	5325822	5322539	4456548	4903598	3627671	3954426	4059278	3759916	3365644
hap6	7643383	6531603	6578692	7466094	6802098	5219697	6135181	5616776	5815411	5610393	5759547	4688439	5062698	3744168	4381663	4443399	3716904	3323064
hap17	7768087	6465642	6471839	7821678	7149979	5420154	5921385	5779619	6849347	5823614	5673542	4703010	4759644	3851601	3854942	4460213	3842741	3338469
hap18	8026834	6831796	7033054	7771150	6981357	5239642	5811982	5938363	5842585	5660687	5963523	4701772	4617854	3704893	4134606	4260945	3947095	3150223
hap19	7901861	6754571	6468188	7768711	7200453	5490208	5904164	5701485	6187743	5439930	5766581	4533041	4815597	3686604	4073811	4332415	3731889	3387536
hap20	7715345	6620962	6564184	7419733	6798007	5394331	5998088	5595067	6605340	4912981	5777818	4814282	5215097	3665972	4083981	4309936	4096769	3291072
hap13	7856123	6616994	6558672	7308019	7079942	5099811	5866762	5784254	6629552	5190326	5444030	4648654	4779014	3706101	4265675	4407855	3992599	3268456
hap14	7608217	6749787	6685216	7680027	6670565	5566442	5471779	5831189	5474294	5800643	5587974	4345697	5003667	3489818	3997528	4166536	3949757	3244537
hap21	7367120	6534907	6391547	7819142	6850421	5306785	5667847	5772603	7308331	5391637	5582454	4427995	4620063	3548529	3982169	4037564	4079115	3403370
hap22	7529448	6839220	6462760	7716855	6763902	5268937	5583241	5901432	5654319	5425475	5646377	4456977	4911376	3538095	4255033	4109320	3869388	3471702
hap23	7786471	6761754	6423388	7552523	6681397	5202310	5792305	5676515	5972093	5329553	5618954	4691967	4958298	3631685	4339281	4067933	3948954	3505522
hap24	7177971	6350890	6523379	7503518	6732062	5541312	5610525	5749288	6609084	5330988	5346315	4489489	4866172	3661837	3946362	4077428	4115598	3365570
hap25	7271820	6680538	6518986	7922635	6788164	5416645	5588336	5879010	6677200	5573048	5684279	4439959	4662605	3717486	4249771	4038275	3900752	3382353
hap26	7367671	6560976	6549638	7449009	6914230	5667488	5609771	5824653	6256662	5512302	5303506	4395503	5019643	3588164	4000508	3939795	3739414	3355387
hap27	7706240	6471750	6487500	7709111	7023982	5428256	5655790	6021854	5988260	5456051	5535943	4296615	4746077	3586325	3992235	4095198	3912642	3351424
hap28	7602186	6766305	6364640	7564197	6953266	5492995	5489699	5727659	6800142	5565687	5617937	4223206	4649411	3605569	4173525	4085951	3930802	3371143
hap29	7296096	6766882	6602875	7829895	6649562	5469660	5538430	6091203	6010283	5553178	5538314	4385428	4784854	3380799	4147342	4131888	3905554	3326359
hap30	7935774	6762040	6387550	7892433	6956687	5475643	5507458	5731691	6867624	5479514	5470436	4081771	5052445	3603526	4032110	4021237	4001044	3569865
hap31	7308566	6543846	6512439	7741662	6963213	5405569	5511937	5729072	6218672	5729186	5484059	4242105	4655842	3594343	3926851	4052390	4212531	3507285
hap32	7710121	6601022	6498850	7821932	6864277	5576395	5761011	5669961	6075276	5401721	5274351	4353340	4705572	3733048	4129485	3997675	4017058	3303122
hap1	8018478	6810466	6979198	7574082	6841886	5186056	6075801	6339712	6544462	5604848	5881233	4948094	5422310	3588421	4071949	4772255	3681157	3355604
hap2	7419164	6665088	6167249	8040728	7117848	5207541	6130154	5542684	6514324	5445621	5612251	4750693	5024436	3450321	4180552	4333653	3610928	3278968
