Genome	Chr9	allele
hap15	6783197	STE3.2.2
hap16	6252937	STE3.2.3
hap7	5659574	STE3.2.3
hap8	7456321	STE3.2.2
hap9	6855992	STE3.2.2
hap10	6126728	STE3.2.3
hap11	6198631	STE3.2.3
hap12	6937348	STE3.2.2
hap3	6694990	STE3.2.2
hap4	5910465	STE3.2.3
hap5	6672507	STE3.2.2
hap6	5815411	STE3.2.3
hap17	6849347	STE3.2.2
hap18	5842585	STE3.2.3
hap19	6187743	STE3.2.3
hap20	6605340	STE3.2.2
hap13	6629552	STE3.2.2
hap14	5474294	STE3.2.3
hap21	7308331	STE3.2.2
hap22	5654319	STE3.2.3
hap23	5972093	STE3.2.3
hap24	6609084	STE3.2.2
hap25	6677200	STE3.2.2
hap26	6256662	STE3.2.3
hap27	5988260	STE3.2.3
hap28	6800142	STE3.2.2
hap29	6010283	STE3.2.3
hap30	6867624	STE3.2.2
hap31	6218672	STE3.2.2
hap32	6075276	STE3.2.3
